Date,SPX_Price,VIX,R10_Yield,Short_Rate,HY_Spread,BCRED_Spread,Is_Simulated
Jul 1979,74.89,16.89,6.95,5.16,4.54,,TRUE
Aug 1979,76.4,16.3,7.13,5.83,4.15,,TRUE
Sep 1979,79.89,15.12,7.03,6.32,4.14,,TRUE
Oct 1979,83.42,16.9,7.03,5.88,4.04,,TRUE
Nov 1979,86.33,15.5,7.06,5.68,3.92,,TRUE
Dec 1979,89.11,17.98,7.02,6.32,4.0,,TRUE
Jan 1980,94.0,22.0,7.24,6.35,8.5,,TRUE
Feb 1980,100.14,22.0,7.87,6.46,8.5,,TRUE
Mar 1980,98.58,22.0,8.18,6.84,8.5,,TRUE
Apr 1980,99.06,22.0,8.61,7.67,8.5,,TRUE
May 1980,109.43,22.0,9.15,8.56,8.5,,TRUE
Jun 1980,115.76,22.0,9.04,8.65,8.5,,TRUE
Jul 1980,119.4,22.0,9.66,8.35,8.5,,TRUE
Aug 1980,119.85,22.0,9.96,9.4,8.5,,TRUE
Sep 1980,118.97,22.0,9.98,8.5,8.5,,TRUE
Oct 1980,121.43,22.0,9.95,9.11,8.5,,TRUE
Nov 1980,122.91,22.0,10.03,9.44,8.5,,TRUE
Dec 1980,120.01,22.0,10.43,9.68,8.5,,TRUE
Jan 1981,111.57,22.0,10.82,10.54,8.5,,TRUE
Feb 1981,113.3,22.0,10.83,9.94,8.5,,TRUE
Mar 1981,112.39,22.0,11.72,10.29,8.5,,TRUE
Apr 1981,112.29,22.0,12.01,11.52,8.5,,TRUE
May 1981,107.65,22.0,12.2,11.04,8.5,,TRUE
Jun 1981,107.06,22.0,12.71,10.94,8.5,,TRUE
Jul 1981,104.91,22.0,13.17,11.82,8.5,,TRUE
Aug 1981,105.43,22.0,13.56,12.55,8.5,,TRUE
Sep 1981,108.05,22.0,13.55,12.54,8.5,,TRUE
Oct 1981,119.68,22.0,14.43,12.95,8.5,,TRUE
Nov 1981,120.78,22.0,14.42,12.99,8.5,,TRUE
Dec 1981,115.71,22.0,15.0,14.4,8.5,,TRUE
Jan 1982,112.67,22.0,15.0,14.94,8.5,,TRUE
Feb 1982,114.59,22.0,15.0,13.92,8.5,,TRUE
Mar 1982,111.29,22.0,15.0,13.52,8.5,,TRUE
Apr 1982,103.94,22.0,14.94,13.69,8.5,,TRUE
May 1982,101.5,22.0,15.0,13.41,8.5,,TRUE
Jun 1982,100.92,22.0,14.61,12.94,8.5,,TRUE
Jul 1982,97.9,22.0,15.0,14.8,8.5,,TRUE
Aug 1982,95.69,22.0,15.0,13.98,8.5,,TRUE
Sep 1982,95.01,22.0,15.0,14.53,8.5,,TRUE
Oct 1982,98.39,22.0,15.0,13.74,8.5,,TRUE
Nov 1982,104.68,22.0,14.85,14.62,8.5,,TRUE
Dec 1982,112.8,22.0,15.0,14.37,8.5,,TRUE
Jan 1983,122.55,21.09,14.94,12.91,8.34,,TRUE
Feb 1983,118.15,21.46,14.84,13.15,8.15,,TRUE
Mar 1983,108.19,16.98,14.83,14.42,7.99,,TRUE
Apr 1983,116.94,19.68,14.73,13.69,7.79,,TRUE
May 1983,117.64,18.87,14.52,13.33,7.12,,TRUE
Jun 1983,120.46,15.68,14.24,12.9,6.84,,TRUE
Jul 1983,126.54,13.46,14.07,13.11,6.5,,TRUE
Aug 1983,126.88,12.63,13.91,13.3,6.4,,TRUE
Sep 1983,128.04,10.59,13.73,11.75,6.1,,TRUE
Oct 1983,132.54,11.03,13.59,12.7,5.98,,TRUE
Nov 1983,119.8,10.47,13.6,12.74,5.73,,TRUE
Dec 1983,123.81,14.44,13.38,12.51,5.88,,TRUE
Jan 1984,119.41,16.76,13.35,12.41,6.36,,TRUE
Feb 1984,116.83,14.99,13.12,12.83,6.21,,TRUE
Mar 1984,125.49,16.75,12.94,11.95,6.38,,TRUE
Apr 1984,120.58,19.54,12.89,11.62,6.02,,TRUE
May 1984,131.84,16.09,12.8,11.34,5.69,,TRUE
Jun 1984,129.31,14.62,12.6,11.84,5.69,,TRUE
Jul 1984,129.99,13.02,12.45,11.32,5.58,,TRUE
Aug 1984,133.9,12.16,12.36,10.99,5.29,,TRUE
Sep 1984,138.17,14.09,12.21,12.04,5.23,,TRUE
Oct 1984,129.09,12.7,12.08,11.98,5.27,,TRUE
Nov 1984,120.41,11.24,12.02,10.7,5.24,,TRUE
Dec 1984,116.65,10.5,11.96,10.93,4.93,,TRUE
Jan 1985,111.59,10.02,11.86,10.44,5.09,,TRUE
Feb 1985,115.33,10.0,11.85,11.25,5.32,,TRUE
Mar 1985,115.39,10.0,11.77,10.73,5.31,,TRUE
Apr 1985,113.72,11.43,11.83,11.04,5.28,,TRUE
May 1985,125.19,11.12,11.73,10.58,5.28,,TRUE
Jun 1985,114.65,14.1,11.76,10.96,5.14,,TRUE
Jul 1985,124.16,13.54,11.6,10.59,4.7,,TRUE
Aug 1985,126.41,15.41,11.57,11.47,4.64,,TRUE
Sep 1985,124.99,17.64,11.59,10.42,4.33,,TRUE
Oct 1985,123.35,17.61,11.6,10.47,4.8,,TRUE
Nov 1985,121.62,15.5,11.45,10.42,4.93,,TRUE
Dec 1985,121.05,17.5,11.44,10.7,4.96,,TRUE
Jan 1986,116.94,17.88,11.29,9.91,4.82,,TRUE
Feb 1986,113.74,18.28,11.32,9.38,5.06,,TRUE
Mar 1986,114.31,20.78,11.14,9.81,4.65,,TRUE
Apr 1986,115.73,24.8,11.11,10.05,4.41,,TRUE
May 1986,119.06,23.78,11.13,10.52,4.51,,TRUE
Jun 1986,114.65,25.65,11.26,10.51,4.78,,TRUE
Jul 1986,123.4,26.24,11.19,11.04,4.77,,TRUE
Aug 1986,128.89,22.53,11.12,10.95,4.65,,TRUE
Sep 1986,139.54,18.81,11.07,10.24,4.38,,TRUE
Oct 1986,123.65,17.75,10.99,10.13,4.09,,TRUE
Nov 1986,130.85,18.73,10.93,9.0,4.09,,TRUE
Dec 1986,131.91,23.32,10.85,9.82,3.91,,TRUE
Jan 1987,129.66,21.78,10.79,10.08,4.01,,TRUE
Feb 1987,129.14,19.34,10.73,9.68,3.95,,TRUE
Mar 1987,118.06,20.87,10.83,9.21,3.47,,TRUE
Apr 1987,113.05,17.17,10.74,10.13,3.5,,TRUE
May 1987,108.15,19.39,10.86,9.5,3.79,,TRUE
Jun 1987,107.79,16.29,10.76,9.4,3.96,,TRUE
Jul 1987,114.22,16.98,10.67,9.85,4.15,,TRUE
Aug 1987,116.76,17.87,10.5,9.66,4.31,,TRUE
Sep 1987,123.14,17.07,10.33,9.59,4.51,,TRUE
Oct 1987,72.5,40.0,0.5,0.1,8.0,,TRUE
Nov 1987,64.59,40.0,0.5,0.28,8.0,,TRUE
Dec 1987,68.67,40.0,0.5,0.14,8.0,,TRUE
Jan 1988,67.5,36.67,0.5,0.1,7.99,,TRUE
Feb 1988,68.47,35.63,0.54,0.1,7.63,,TRUE
Mar 1988,64.83,33.15,0.5,0.36,7.31,,TRUE
Apr 1988,66.33,30.06,0.57,0.1,7.06,,TRUE
May 1988,68.04,28.19,0.51,0.1,6.65,,TRUE
Jun 1988,71.56,27.16,0.5,0.1,6.64,,TRUE
Jul 1988,70.09,21.65,0.66,0.3,6.63,,TRUE
Aug 1988,68.23,19.2,0.66,0.1,6.52,,TRUE
Sep 1988,65.74,16.73,0.6,0.27,6.04,,TRUE
Oct 1988,66.78,21.73,0.7,0.1,5.69,,TRUE
Nov 1988,74.98,19.57,0.61,0.1,5.71,,TRUE
Dec 1988,81.52,17.48,0.6,0.1,5.82,,TRUE
Jan 1989,84.45,18.52,0.53,0.1,6.05,,TRUE
Feb 1989,84.14,14.85,0.63,0.1,6.02,,TRUE
Mar 1989,86.21,15.23,0.62,0.29,5.99,,TRUE
Apr 1989,88.64,17.36,0.68,0.1,5.96,,TRUE
May 1989,90.39,17.86,0.67,0.1,5.48,,TRUE
Jun 1989,93.84,19.54,0.53,0.1,5.16,,TRUE
Jul 1989,94.95,20.74,0.53,0.1,5.1,,TRUE
Aug 1989,93.61,19.26,0.5,0.1,4.96,,TRUE
Sep 1989,100.41,18.24,0.62,0.1,4.73,,TRUE
Oct 1989,105.18,14.79,0.64,0.1,4.92,,TRUE
Nov 1989,116.85,13.78,0.64,0.1,5.09,,TRUE
Dec 1989,114.98,16.87,0.61,0.1,4.94,,TRUE
Jan 1990,110.65,13.9,0.56,0.1,4.84,,TRUE
Feb 1990,106.51,14.54,0.5,0.1,4.8,,TRUE
Mar 1990,101.92,14.51,0.6,0.1,4.73,,TRUE
Apr 1990,113.95,15.57,0.63,0.1,4.74,,TRUE
May 1990,111.54,14.23,0.56,0.1,4.61,,TRUE
Jun 1990,114.74,13.21,0.68,0.1,4.88,,TRUE
Jul 1990,123.59,13.88,0.62,0.38,4.97,,TRUE
Aug 1990,126.38,13.27,0.8,0.1,4.8,,TRUE
Sep 1990,119.48,13.18,0.86,0.26,5.17,,TRUE
Oct 1990,121.58,17.04,0.78,0.1,5.1,,TRUE
Nov 1990,119.81,21.79,0.78,0.1,5.28,,TRUE
Dec 1990,118.78,24.46,0.88,0.1,5.33,,TRUE
Jan 1991,125.37,24.69,0.93,0.1,5.47,,TRUE
Feb 1991,127.14,24.53,1.04,0.13,5.65,,TRUE
Mar 1991,128.25,23.84,1.16,0.36,5.37,,TRUE
Apr 1991,133.52,22.61,1.28,0.96,5.32,,TRUE
May 1991,136.02,20.85,1.34,0.23,5.67,,TRUE
Jun 1991,138.18,20.53,1.49,0.19,5.54,,TRUE
Jul 1991,140.05,21.85,1.44,0.95,5.47,,TRUE
Aug 1991,143.47,17.77,1.36,0.64,5.61,,TRUE
Sep 1991,135.2,16.25,1.51,0.1,5.49,,TRUE
Oct 1991,140.53,15.06,1.28,0.79,5.48,,TRUE
Nov 1991,145.69,12.49,1.3,0.1,5.27,,TRUE
Dec 1991,142.25,10.72,1.29,1.05,5.56,,TRUE
Jan 1992,135.3,10.88,1.27,0.1,5.5,,TRUE
Feb 1992,139.1,13.74,1.41,0.24,5.39,,TRUE
Mar 1992,141.37,15.21,1.46,0.1,5.39,,TRUE
Apr 1992,153.89,18.06,1.53,0.86,5.28,,TRUE
May 1992,160.87,17.86,1.51,0.86,4.92,,TRUE
Jun 1992,144.53,13.65,1.44,0.67,4.79,,TRUE
Jul 1992,139.32,15.42,1.28,0.1,4.91,,TRUE
Aug 1992,145.87,13.04,1.27,0.1,4.87,,TRUE
Sep 1992,145.34,13.75,1.24,1.22,4.84,,TRUE
Oct 1992,150.62,13.38,1.16,0.1,4.6,,TRUE
Nov 1992,152.15,16.42,1.1,0.1,4.71,,TRUE
Dec 1992,157.64,16.99,1.03,0.1,4.83,,TRUE
Jan 1993,173.55,19.33,1.13,0.1,4.69,,TRUE
Feb 1993,171.07,19.08,1.05,0.38,5.01,,TRUE
Mar 1993,172.17,19.51,1.02,0.3,5.05,,TRUE
Apr 1993,174.39,19.71,1.23,0.21,5.34,,TRUE
May 1993,178.83,18.49,1.28,1.12,5.05,,TRUE
Jun 1993,168.38,21.11,1.34,0.95,4.9,,TRUE
Jul 1993,177.82,23.56,1.36,0.58,5.07,,TRUE
Aug 1993,166.54,24.05,1.34,0.1,4.98,,TRUE
Sep 1993,171.49,21.44,1.49,0.29,5.21,,TRUE
Oct 1993,181.83,19.13,1.5,0.52,5.02,,TRUE
Nov 1993,192.59,20.05,1.55,1.13,4.9,,TRUE
Dec 1993,204.1,17.06,1.37,1.02,4.79,,TRUE
Jan 1994,206.33,16.65,1.32,0.1,4.83,,TRUE
Feb 1994,203.9,15.42,1.18,0.96,4.99,,TRUE
Mar 1994,202.48,14.66,1.33,0.5,5.11,,TRUE
Apr 1994,206.18,15.57,1.53,0.1,5.13,,TRUE
May 1994,214.47,15.34,1.49,0.51,5.03,,TRUE
Jun 1994,196.8,15.13,1.49,0.45,5.12,,TRUE
Jul 1994,216.77,17.1,1.57,1.13,5.13,,TRUE
Aug 1994,208.12,14.71,1.55,0.25,5.29,,TRUE
Sep 1994,217.83,14.37,1.48,0.37,5.59,,TRUE
Oct 1994,218.9,15.2,1.52,0.1,5.51,,TRUE
Nov 1994,226.83,17.38,1.54,0.1,5.62,,TRUE
Dec 1994,220.83,14.73,1.42,0.26,5.84,,TRUE
Jan 1995,238.52,15.41,1.4,0.19,5.77,,TRUE
Feb 1995,227.14,17.28,1.44,0.1,5.59,,TRUE
Mar 1995,227.31,16.34,1.49,0.1,5.62,,TRUE
Apr 1995,214.28,16.17,1.5,1.05,5.48,,TRUE
May 1995,209.73,14.01,1.65,1.57,5.21,,TRUE
Jun 1995,232.56,16.18,1.51,0.85,5.47,,TRUE
Jul 1995,219.76,11.0,1.6,0.1,5.3,,TRUE
Aug 1995,226.98,16.48,1.43,0.1,5.43,,TRUE
Sep 1995,229.75,17.78,1.48,0.34,5.51,,TRUE
Oct 1995,230.46,16.8,1.47,1.31,5.26,,TRUE
Nov 1995,241.71,16.89,1.36,0.1,4.96,,TRUE
Dec 1995,241.08,18.49,1.2,0.69,4.72,,TRUE
Jan 1996,236.36,18.18,1.24,0.91,4.5,,TRUE
Feb 1996,244.01,18.58,1.27,0.28,4.18,,TRUE
Mar 1996,247.19,18.29,1.29,0.5,4.49,,TRUE
Apr 1996,241.67,17.88,1.33,0.69,4.5,,TRUE
May 1996,235.67,14.96,1.19,0.53,4.85,,TRUE
Jun 1996,240.39,17.46,1.27,0.61,4.75,,TRUE
Jul 1996,249.05,14.72,1.18,0.1,5.16,,TRUE
Aug 1996,249.27,14.5,1.22,0.19,5.05,,TRUE
Sep 1996,250.15,13.46,1.31,0.99,5.44,,TRUE
Oct 1996,245.8,16.97,1.56,0.1,5.19,,TRUE
Nov 1996,241.2,15.92,1.61,0.71,5.44,,TRUE
Dec 1996,234.66,13.33,1.5,0.48,5.22,,TRUE
Jan 1997,215.36,14.24,1.51,0.1,4.84,,FALSE
Feb 1997,221.04,11.94,1.54,0.1,5.05,,FALSE
Mar 1997,228.06,13.51,1.47,0.43,4.98,,FALSE
Apr 1997,220.49,10.91,1.37,0.42,4.97,,FALSE
May 1997,211.31,13.71,1.29,0.1,5.17,,FALSE
Jun 1997,216.63,14.18,1.25,0.1,5.34,,FALSE
Jul 1997,225.16,14.57,1.26,0.34,5.2,,FALSE
Aug 1997,231.99,11.97,1.35,1.27,4.97,,FALSE
Sep 1997,233.67,13.21,1.23,0.1,4.49,,FALSE
Oct 1997,232.37,13.28,1.31,0.1,4.51,,FALSE
Nov 1997,232.28,12.2,1.33,0.1,4.57,,FALSE
Dec 1997,233.93,10.82,1.25,0.23,4.67,,FALSE
Jan 1998,250.32,11.4,1.35,0.1,4.75,,FALSE
Feb 1998,248.76,10.0,1.4,0.93,4.73,,FALSE
Mar 1998,249.84,10.86,1.33,0.1,4.67,,FALSE
Apr 1998,250.09,10.0,1.37,0.84,4.66,,FALSE
May 1998,249.56,13.81,1.25,0.1,4.77,,FALSE
Jun 1998,248.04,13.32,1.39,0.7,4.77,,FALSE
Jul 1998,254.78,13.89,1.34,0.34,4.78,,FALSE
Aug 1998,267.4,11.09,1.46,1.18,4.94,,FALSE
Sep 1998,275.92,10.0,1.31,1.21,4.85,,FALSE
Oct 1998,282.85,10.0,1.38,0.65,4.7,,FALSE
Nov 1998,286.5,10.72,1.23,0.1,4.72,,FALSE
Dec 1998,276.61,11.04,1.12,0.14,4.93,,FALSE
Jan 1999,261.61,11.29,1.07,0.1,4.71,,FALSE
Feb 1999,275.82,11.43,0.91,0.24,4.99,,FALSE
Mar 1999,304.66,13.32,0.84,0.1,5.3,,FALSE
Apr 1999,328.35,14.17,0.78,0.1,5.37,,FALSE
May 1999,360.56,15.22,0.78,0.11,5.13,,FALSE
Jun 1999,347.5,15.55,0.79,0.46,5.0,,FALSE
Jul 1999,368.65,13.38,0.9,0.1,4.82,,FALSE
Aug 1999,396.32,12.11,0.97,0.68,4.98,,FALSE
Sep 1999,407.43,15.2,0.93,0.1,4.89,,FALSE
Oct 1999,415.41,17.02,1.14,0.12,4.72,,FALSE
Nov 1999,411.7,17.8,1.29,0.1,4.8,,FALSE
Dec 1999,394.35,13.44,1.2,0.1,4.56,,FALSE
Jan 2000,395.71,28.0,4.0,3.14,8.5,,FALSE
Feb 2000,375.93,28.0,4.0,2.57,8.5,,FALSE
Mar 2000,364.68,28.0,4.0,2.86,8.5,,FALSE
Apr 2000,375.29,28.0,4.0,2.75,8.5,,FALSE
May 2000,373.74,28.0,4.0,2.41,8.5,,FALSE
Jun 2000,353.52,28.0,4.03,2.83,8.5,,FALSE
Jul 2000,374.49,28.0,4.0,2.71,8.5,,FALSE
Aug 2000,407.12,28.0,4.0,2.85,8.5,,FALSE
Sep 2000,414.82,28.0,4.0,1.7,8.5,,FALSE
Oct 2000,418.09,28.0,4.08,2.7,8.5,,FALSE
Nov 2000,408.34,28.0,4.0,2.66,8.5,,FALSE
Dec 2000,381.38,28.0,4.02,3.13,8.5,,FALSE
Jan 2001,413.87,28.0,4.0,2.71,8.5,,FALSE
Feb 2001,418.7,28.0,4.0,3.6,8.5,,FALSE
Mar 2001,409.06,28.0,4.0,3.3,8.5,,FALSE
Apr 2001,418.83,28.0,4.0,3.39,8.5,,FALSE
May 2001,390.25,28.0,4.0,2.79,8.5,,FALSE
Jun 2001,375.66,28.0,4.0,2.64,8.5,,FALSE
Jul 2001,375.09,28.0,4.0,3.2,8.5,,FALSE
Aug 2001,329.84,28.0,4.0,3.71,8.5,,FALSE
Sep 2001,313.97,28.0,4.05,2.42,8.5,,FALSE
Oct 2001,312.74,28.0,4.0,3.28,8.5,,FALSE
Nov 2001,346.73,28.0,4.0,2.0,8.5,,FALSE
Dec 2001,353.85,28.0,4.0,2.49,8.5,,FALSE
Jan 2002,331.17,28.0,4.0,3.28,8.5,,FALSE
Feb 2002,317.2,28.0,4.0,3.09,8.5,,FALSE
Mar 2002,314.13,28.0,4.0,2.52,8.5,,FALSE
Apr 2002,305.76,28.0,4.0,3.57,8.5,,FALSE
May 2002,299.66,28.0,4.0,3.93,8.5,,FALSE
Jun 2002,306.51,28.0,4.0,2.24,8.5,,FALSE
Jul 2002,324.36,28.0,4.0,2.08,8.5,,FALSE
Aug 2002,300.83,28.0,4.0,3.11,8.5,,FALSE
Sep 2002,330.33,28.0,4.0,2.46,8.5,,FALSE
Oct 2002,303.18,28.0,4.0,3.24,8.5,,FALSE
Nov 2002,304.52,28.0,4.0,3.88,8.5,,FALSE
Dec 2002,270.81,28.0,4.0,3.23,8.5,,FALSE
Jan 2003,272.51,23.71,4.03,3.6,7.99,,FALSE
Feb 2003,280.3,21.49,4.19,3.49,7.98,,FALSE
Mar 2003,281.14,22.05,4.07,2.45,7.69,,FALSE
Apr 2003,287.89,19.34,4.03,3.14,7.19,,FALSE
May 2003,289.78,21.67,4.1,3.23,6.76,,FALSE
Jun 2003,288.28,22.44,4.0,2.63,6.05,,FALSE
Jul 2003,300.75,18.2,3.99,3.25,6.0,,FALSE
Aug 2003,302.52,15.01,3.84,2.61,5.91,,FALSE
Sep 2003,307.52,13.54,3.66,3.07,6.0,,FALSE
Oct 2003,319.42,13.88,3.76,2.55,5.65,,FALSE
Nov 2003,306.4,12.39,3.76,2.72,5.46,,FALSE
Dec 2003,294.78,14.59,3.45,3.27,5.45,,FALSE
Jan 2004,294.56,14.69,3.49,2.86,5.77,,FALSE
Feb 2004,284.14,13.14,3.61,2.85,5.51,,FALSE
Mar 2004,282.54,14.07,3.61,2.73,5.74,,FALSE
Apr 2004,325.25,14.05,3.43,2.52,5.79,,FALSE
May 2004,329.35,13.34,3.45,1.87,5.51,,FALSE
Jun 2004,347.83,12.25,3.28,1.35,5.59,,FALSE
Jul 2004,358.02,12.8,3.22,1.8,5.74,,FALSE
Aug 2004,354.2,15.19,3.12,2.29,5.49,,FALSE
Sep 2004,357.25,19.29,3.01,2.54,5.47,,FALSE
Oct 2004,366.81,19.55,3.14,2.67,5.36,,FALSE
Nov 2004,379.13,21.24,3.1,0.81,5.47,,FALSE
Dec 2004,376.93,19.6,3.12,1.95,5.41,,FALSE
Jan 2005,402.1,16.9,3.12,1.55,5.58,,FALSE
Feb 2005,404.7,15.4,3.09,1.45,5.05,,FALSE
Mar 2005,403.39,17.02,2.98,1.71,4.9,,FALSE
Apr 2005,400.56,14.87,2.93,1.12,4.78,,FALSE
May 2005,410.84,16.89,3.03,2.25,5.05,,FALSE
Jun 2005,435.88,17.25,3.02,2.61,4.82,,FALSE
Jul 2005,450.66,17.48,2.95,2.08,4.83,,FALSE
Aug 2005,493.36,14.42,2.89,1.83,4.97,,FALSE
Sep 2005,504.85,15.53,2.78,1.69,4.79,,FALSE
Oct 2005,503.15,17.67,2.81,1.61,4.88,,FALSE
Nov 2005,531.99,17.01,2.87,2.35,5.23,,FALSE
Dec 2005,533.81,18.4,2.84,2.11,4.72,,FALSE
Jan 2006,550.14,19.31,2.86,2.08,4.73,,FALSE
Feb 2006,581.15,19.89,2.82,2.29,4.86,,FALSE
Mar 2006,579.67,19.89,2.75,0.83,4.98,,FALSE
Apr 2006,541.85,18.55,2.7,1.3,4.93,,FALSE
May 2006,543.37,19.92,2.58,0.73,4.68,,FALSE
Jun 2006,553.28,21.51,2.55,2.02,4.67,,FALSE
Jul 2006,490.12,20.91,2.64,1.14,4.76,,FALSE
Aug 2006,524.09,16.36,2.69,1.44,4.6,,FALSE
Sep 2006,566.7,19.38,2.67,1.01,4.78,,FALSE
Oct 2006,549.45,15.52,2.73,1.85,4.77,,FALSE
Nov 2006,554.65,15.69,2.93,1.65,4.7,,FALSE
Dec 2006,525.86,15.98,3.08,2.46,4.56,,FALSE
Jan 2007,496.53,14.97,3.01,2.35,4.55,,FALSE
Feb 2007,467.68,16.49,2.98,1.94,4.24,,FALSE
Mar 2007,431.73,16.91,2.94,1.27,4.12,,FALSE
Apr 2007,420.36,17.97,2.94,1.83,4.12,,FALSE
May 2007,459.47,19.67,2.89,1.88,4.0,,FALSE
Jun 2007,430.16,15.94,2.87,2.77,3.91,,FALSE
Jul 2007,424.04,12.64,2.88,1.43,4.07,,FALSE
Aug 2007,410.21,14.79,2.88,2.02,4.44,,FALSE
Sep 2007,410.87,14.4,2.65,2.15,4.3,,FALSE
Oct 2007,422.12,13.19,2.65,1.56,4.27,,FALSE
Nov 2007,438.74,13.26,2.52,1.51,4.58,,FALSE
Dec 2007,449.17,14.1,2.53,1.84,4.76,,FALSE
Jan 2008,434.5,45.0,2.5,1.45,14.0,,FALSE
Feb 2008,356.05,45.0,2.5,1.56,14.0,,FALSE
Mar 2008,349.92,45.0,2.5,1.45,14.0,,FALSE
Apr 2008,315.18,45.0,2.5,0.87,14.0,,FALSE
May 2008,289.43,45.0,2.5,1.29,14.0,,FALSE
Jun 2008,302.03,45.0,2.5,2.1,14.0,,FALSE
Jul 2008,326.61,45.0,2.5,1.84,14.0,,FALSE
Aug 2008,323.61,45.0,2.5,1.36,14.0,,FALSE
Sep 2008,334.45,45.0,2.5,1.09,14.0,,FALSE
Oct 2008,279.93,45.0,2.5,0.85,14.0,,FALSE
Nov 2008,247.1,45.0,2.5,0.94,14.0,,FALSE
Dec 2008,235.44,45.0,2.5,2.05,14.0,,FALSE
Jan 2009,253.06,45.0,2.5,1.11,14.0,,FALSE
Feb 2009,241.23,45.0,2.5,1.78,14.0,,FALSE
Mar 2009,252.61,45.0,2.5,1.9,14.0,,FALSE
